"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
" -> Collin County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","939,585","461,416","478,169","59,881","70,278","75,119","67,842","53,107","118,559","149,597","144,167","56,954","45,527","63,054","27,833","7,667","36.5","689,140","656,887","123,531","98,554","689,140","334,082","355,058","98,554","43,097","55,457","","939,585","909,291","30,294","909,291","661,559","87,766","3,583","N","N","N","N","132,486","60,456","27,089","8,488","2,050","10,088","12,003","12,312","822","N","N","N","N","23,075","30,294","6,874","4,951","8,478","3,183","","939,585","685,634","100,704","12,782","143,299","1,122","27,557","","939,585","142,209","112,524","5,399","2,904","21,382","797,376","547,912","87,128","2,437","132,034","822","2,793","24,250","1,106","23,144","351,310","","606,908","291,829","315,079"
"    Percent","","939,585","49.1%","50.9%","6.4%","7.5%","8.0%","7.2%","5.7%","12.6%","15.9%","15.3%","6.1%","4.8%","6.7%","3.0%","0.8%","(X)","73.3%","69.9%","13.1%","10.5%","689,140","48.5%","51.5%","98,554","43.7%","56.3%","","939,585","96.8%","3.2%","96.8%","70.4%","9.3%","0.4%","N","N","N","N","14.1%","6.4%","2.9%","0.9%","0.2%","1.1%","1.3%","1.3%","0.1%","N","N","N","N","2.5%","3.2%","0.7%","0.5%","0.9%","0.3%","","939,585","73.0%","10.7%","1.4%","15.3%","0.1%","2.9%","","939,585","15.1%","12.0%","0.6%","0.3%","2.3%","84.9%","58.3%","9.3%","0.3%","14.1%","0.1%","0.3%","2.6%","0.1%","2.5%","(X)","","606,908","48.1%","51.9%"
" -> Dallas County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,574,984","1,267,526","1,307,458","196,093","200,043","182,154","174,048","184,076","415,787","356,378","328,727","150,086","127,201","157,632","72,583","30,176","33.3","1,887,641","1,788,168","328,866","260,391","1,887,641","917,045","970,596","260,391","111,223","149,168","","2,574,984","2,498,663","76,321","2,498,663","1,591,187","582,365","6,506","N","N","N","N","157,592","51,958","18,084","10,290","1,612","8,667","37,752","29,229","1,393","259","646","0","488","159,620","76,321","19,595","13,422","10,657","4,845","","2,574,984","1,653,756","613,332","29,702","174,328","3,308","181,796","","2,574,984","1,026,256","862,449","16,796","6,079","140,932","1,548,728","763,940","574,773","3,625","155,890","1,103","5,495","43,902","2,650","41,252","1,003,060","","1,477,187","700,368","776,819"
"    Percent","","2,574,984","49.2%","50.8%","7.6%","7.8%","7.1%","6.8%","7.1%","16.1%","13.8%","12.8%","5.8%","4.9%","6.1%","2.8%","1.2%","(X)","73.3%","69.4%","12.8%","10.1%","1,887,641","48.6%","51.4%","260,391","42.7%","57.3%","","2,574,984","97.0%","3.0%","97.0%","61.8%","22.6%","0.3%","N","N","N","N","6.1%","2.0%","0.7%","0.4%","0.1%","0.3%","1.5%","1.1%","0.1%","0.0%","0.0%","0.0%","0.0%","6.2%","3.0%","0.8%","0.5%","0.4%","0.2%","","2,574,984","64.2%","23.8%","1.2%","6.8%","0.1%","7.1%","","2,574,984","39.9%","33.5%","0.7%","0.2%","5.5%","60.1%","29.7%","22.3%","0.1%","6.1%","0.0%","0.2%","1.7%","0.1%","1.6%","(X)","","1,477,187","47.4%","52.6%"
" -> Denton County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","806,180","396,322","409,858","52,575","59,296","58,398","58,175","53,497","119,677","124,349","117,851","48,812","37,594","49,682","19,506","6,768","35.1","600,568","566,016","100,097","75,956","600,568","291,192","309,376","75,956","33,763","42,193","","806,180","773,956","32,224","773,956","599,270","74,199","3,992","N","N","N","N","63,864","30,999","7,182","2,723","413","5,787","6,006","10,754","602","N","N","N","N","32,029","32,224","5,685","4,688","8,995","2,875","","806,180","625,120","86,523","12,517","76,237","2,912","38,118","","806,180","154,800","120,984","5,560","1,605","26,651","651,380","484,539","72,060","3,095","63,544","559","1,824","25,759","779","24,980","297,936","","544,590","263,665","280,925"
"    Percent","","806,180","49.2%","50.8%","6.5%","7.4%","7.2%","7.2%","6.6%","14.8%","15.4%","14.6%","6.1%","4.7%","6.2%","2.4%","0.8%","(X)","74.5%","70.2%","12.4%","9.4%","600,568","48.5%","51.5%","75,956","44.5%","55.5%","","806,180","96.0%","4.0%","96.0%","74.3%","9.2%","0.5%","N","N","N","N","7.9%","3.8%","0.9%","0.3%","0.1%","0.7%","0.7%","1.3%","0.1%","N","N","N","N","4.0%","4.0%","0.7%","0.6%","1.1%","0.4%","","806,180","77.5%","10.7%","1.6%","9.5%","0.4%","4.7%","","806,180","19.2%","15.0%","0.7%","0.2%","3.3%","80.8%","60.1%","8.9%","0.4%","7.9%","0.1%","0.2%","3.2%","0.1%","3.1%","(X)","","544,590","48.4%","51.6%"
" -> Ellis County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
